,Demand (MW),Drawl (MW),Freq (Hz),IPP Thermal Generation (MW),OD/UD (MW),Schedule (MW),Total SSGS (MW),UP Hydro Generation (MW),UP Thermal Generation (MW),time
0,12039,6407,49.94,2350,178,6229,5632,860,2422,2018-08-12 14:35:57.686441
1,12039,6407,49.94,2350,178,6229,5632,860,2422,2018-08-12 14:36:15.778609
2,12039,6407,49.94,2350,178,6229,5632,860,2422,2018-08-12 14:36:34.623980
3,12039,6407,49.94,2350,178,6229,5632,860,2422,2018-08-12 14:36:52.831829
4,12039,6407,49.94,2350,178,6229,5632,860,2422,2018-08-12 14:37:11.144653
5,12039,6407,49.94,2350,178,6229,5632,860,2422,2018-08-12 14:37:29.235030
6,12039,6407,49.94,2350,178,6229,5632,860,2422,2018-08-12 14:37:47.591962
7,12039,6407,49.94,2350,178,6229,5632,860,2422,2018-08-12 14:38:06.857618
8,12039,6407,49.94,2350,178,6229,5632,860,2422,2018-08-12 14:38:25.670726
9,12039,6407,49.94,2350,178,6229,5632,860,2422,2018-08-12 14:38:44.703215
10,12039,6407,49.94,2350,178,6229,5632,860,2422,2018-08-12 14:39:04.787467
11,12039,6407,49.94,2350,178,6229,5632,860,2422,2018-08-12 14:39:24.043886
12,12039,6407,49.94,2350,178,6229,5632,860,2422,2018-08-12 14:39:42.795714
13,12039,6407,49.94,2350,178,6229,5632,860,2422,2018-08-12 14:40:02.486624
14,12049,6441,50.00,2334,212,6229,5608,861,2413,2018-08-12 14:40:21.780711
15,12049,6441,50.00,2334,212,6229,5608,861,2413,2018-08-12 14:40:40.708264
16,12049,6441,50.00,2334,212,6229,5608,861,2413,2018-08-12 14:40:59.020469
17,12049,6441,50.00,2334,212,6229,5608,861,2413,2018-08-12 14:41:18.121344
18,12049,6441,50.00,2334,212,6229,5608,861,2413,2018-08-12 14:41:36.221370
19,12049,6441,50.00,2334,212,6229,5608,861,2413,2018-08-12 14:41:54.841639
20,12049,6441,50.00,2334,212,6229,5608,861,2413,2018-08-12 14:42:13.407569
21,12049,6441,50.00,2334,212,6229,5608,861,2413,2018-08-12 14:42:31.699177
22,12049,6441,50.00,2334,212,6229,5608,861,2413,2018-08-12 14:42:50.171860
23,12049,6441,50.00,2334,212,6229,5608,861,2413,2018-08-12 14:43:08.199474
24,12049,6441,50.00,2334,212,6229,5608,861,2413,2018-08-12 14:43:27.135146
25,12049,6441,50.00,2334,212,6229,5608,861,2413,2018-08-12 14:43:45.593272
26,12049,6441,50.00,2334,212,6229,5608,861,2413,2018-08-12 14:44:04.557910
27,12049,6441,50.00,2334,212,6229,5608,861,2413,2018-08-12 14:44:23.051434
28,12049,6441,50.00,2334,212,6229,5608,861,2413,2018-08-12 14:44:41.196561
29,12049,6441,50.00,2334,212,6229,5608,861,2413,2018-08-12 14:45:00.465552
30,12049,6441,50.00,2334,212,6229,5608,861,2413,2018-08-12 14:45:19.592021
31,12049,6441,50.00,2334,212,6229,5608,861,2413,2018-08-12 14:45:37.941661
32,12049,6441,50.00,2334,212,6229,5608,861,2413,2018-08-12 14:45:55.881619
33,12049,6441,50.00,2334,212,6229,5608,861,2413,2018-08-12 14:46:13.942970
34,12093,6464,49.95,2342,235,6229,5628,861,2427,2018-08-12 14:46:32.888803
35,12093,6464,49.95,2342,235,6229,5628,861,2427,2018-08-12 14:46:51.433246
36,12093,6464,49.95,2342,235,6229,5628,861,2427,2018-08-12 14:47:10.945670
37,12093,6464,49.95,2342,235,6229,5628,861,2427,2018-08-12 14:47:30.284961
